--	Center	Openings	Link1	Link2	Link3	Link4	Link5	Link6	Status	Checksum
Hex	3	SSDSHHT	BDHBBHS	HDCTPCS	DCCHHDC	CHDHDSS	SBBBSDD	UNIQUE	SSDSHHTBDHBBHSHDCTPCSDCCHHDCCHDHDSSSBBBSDD
Blank	1,2,4	BTCSCCH	HHTCSSC	HBBDSHB	DBTDCTD	PBBPCDS	CDHDPSS	UNIQUE	BTCSCCHHHTCSSCHBBDSHBDBTDCTDPBBPCDSCDHDPSS
Blank	1,2,5,6	DDHSDTC	TPTPSHH	SCSBSTC	SCSBHTD	SSTBPCH	CHDHCTD	UNIQUE	DDHSDTCTPTPSHHSCSBSTCSCSBHTDSSTBPCHCHDHCTD
Blank	3	HSCHPHS	DPTDCBP	CCDBSPT	BTHTHSP	DBSCBSH	DBSBPBB	UNIQUE	HSCHPHSDPTDCBPCCDBSPTBTHTHSPDBSCBSHDBSBPBB
Blank	4,6	HCCHPPH	DBSCBSH	SDTBCSB	PCHDSBS	BBBBHTB	PPSSBSC	UNIQUE	HCCHPPHDBSCBSHSDTBCSBPCHDSBSBBBBHTBPPSSBSC
Blank	5	HHSDCCB	TBSTBDC	PTHSTPS	HSCHPHS	SBDPTTT	PBDSHTP	UNIQUE	HHSDCCBTBSTBDCPTHSTPSHSCHPHSSBDPTTTPBDSHTP
Blank	3,5	BBTDDHB	PPBPHHP	THTBTBC	PPDDBCB	TBCTPHB	TBTBPBC	UNIQUE	BBTDDHBPPBPHHPTHTBTBCPPDDBCBTBCTPHBTBTBPBC
Blank	5	CPCSPBB	CHBCTDH	DCHTPBP	SPDHDPC	HHBHPHP	HBBDSHB	UNIQUE	CPCSPBBCHBCTDHDCHTPBPSPDHDPCHHBHPHPHBBDSHB
Blank	2,6	HCBPCPC	HBDSTPC	SSDTPTC	PDHHSBT	DHBCTTD	DTSDBHD	UNIQUE	HCBPCPCHBDSTPCSSDTPTCPDHHSBTDHBCTTDDTSDBHD
Blank	5,6	SDPBTSP	SBPSDTP	BTPPTBC	CBCDCTB	DDCHHSC	SCBBBSP	UNIQUE	SDPBTSPSBPSDTPBTPPTBCCBCDCTBDDCHHSCSCBBBSP
Hex	1,5,6	TTHTBBH	PHBBSSP	CTHBSSD	PPDBTBD	TPSTBDD	HPHCSPC	UNIQUE	TTHTBBHPHBBSSPCTHBSSDPPDBTBDTPSTBDDHPHCSPC
Blank	3	HSCSDPS	BSHPDTD	BBBTSSS	PPDCHBT	PTDSCDS	HDHPSBH	UNIQUE	HSCSDPSBSHPDTDBBBTSSSPPDCHBTPTDSCDSHDHPSBH
Blank	5	CBCDCTB	PCHPCDS	DBPTTSD	SCTPHPC	PCPSTDC	CPPPSSS	UNIQUE	CBCDCTBPCHPCDSDBPTTSDSCTPHPCPCPSTDCCPPPSSS
Blank	2,4	STBTBDS	PHHCPHC	CPCCTBP	PTSBTSP	CDDSSCD	PHBDTBP	UNIQUE	STBTBDSPHHCPHCCPCCTBPPTSBTSPCDDSSCDPHBDTBP
Blank	3,6	HTCDSDC	DDBDHHS	SCCPDTC	CPDPSTP	HHDBHBT	HCPHPPH	UNIQUE	HTCDSDCDDBDHHSSCCPDTCCPDPSTPHHDBHBTHCPHPPH
Blank	1,3,4	DCBTHPB	HCPDDCH	HHBTDDP	HPHCPCC	TPSBTDD	BTPBCTT	UNIQUE	DCBTHPBHCPDDCHHHBTDDPHPHCPCCTPSBTDDBTPBCTT
Clover	2,3,6	BTHTCCD	STDCTHC	SDCSCHD	PPSTSDD	CHBTPHH	PTSTSDH	UNIQUE	BTHTCCDSTDCTHCSDCSCHDPPSTSDDCHBTPHHPTSTSDH
Blank	2,4,5	BDSHSCH	CBTBSSP	BHSBHHC	TPCTHPP	SHCCHBT	CBSPTDD	UNIQUE	BDSHSCHCBTBSSPBHSBHHCTPCTHPPSHCCHBTCBSPTDD
Clover	3	TTDTBSC	SBTDBCD	PBPDBPC	CBHHSST	CTPPHSH	BHSBHHC	UNIQUE	TTDTBSCSBTDBCDPBPDBPCCBHHSSTCTPPHSHBHSBHHC
Blank	2,4	BBTBCDC	BSDSDBH	HPBCHTP	PPCTPTS	PPHDSCC	SCBBTDC	UNIQUE	BBTBCDCBSDSDBHHPBCHTPPPCTPTSPPHDSCCSCBBTDC
Blank	2,3	CPTPBDP	TBCBDPP	CPHCDTS	CDCDTPC	DDDPTSP	CDBHBBP	UNIQUE	CPTPBDPTBCBDPPCPHCDTSCDCDTPCDDDPTSPCDBHBBP
Blank	3,5	CDTHPCT	DCPPHPD	BBDBBCB	HBTTSHH	BBPDSHP	TBBSBBH	UNIQUE	CDTHPCTDCPPHPDBBDBBCBHBTTSHHBBPDSHPTBBSBBH
Clover	5	PSCDTPH	TBHCSBH	DTDTTSC	HCHSTDH	BPSSHBB	TSCHHST	UNIQUE	PSCDTPHTBHCSBHDTDTTSCHCHSTDHBPSSHBBTSCHHST
Blank	2,3,5	SHHHHPS	CCDHSPC	PCCCSST	DSSTDBH	PCHPCDB	PSSDSTB	UNIQUE	SHHHHPSCCDHSPCPCCCSSTDSSTDBHPCHPCDBPSSDSTB
Blank	1,2,3,4,5	TPSPBCD	PSTHTSS	STHHCHB	CCPTCTC	HHHSSDD	PBCPPSS	UNIQUE	TPSPBCDPSTHTSSSTHHCHBCCPTCTCHHHSSDDPBCPPSS
Blank	4	HTDCCTC	HHBPCTC	SCTSSPT	CPPCHHC	SPHHTSB	PPDSSDT	UNIQUE	HTDCCTCHHBPCTCSCTSSPTCPPCHHCSPHHTSBPPDSSDT
Diamond	4	TDSBHBT	HHHSSSS	PHCTDCS	BTSBCBB	TTHCDTD	SPPPBTB	UNIQUE	TDSBHBTHHHSSSSPHCTDCSBTSBCBBTTHCDTDSPPPBTB
Blank	5	HDBHTTP	DHDBBPH	HCDDHPD	DHDBSPD	CHDTDHD	CTTDTCH	UNIQUE	HDBHTTPDHDBBPHHCDDHPDDHDBSPDCHDTDHDCTTDTCH
Blank	3,6	TDSBTSP	DSCHDCH	DCHBSHS	HBBPPCT	HHPCSTC	CTBHPPT	UNIQUE	TDSBTSPDSCHDCHDCHBSHSHBBPPCTHHPCSTCCTBHPPT
Blank	5	SPSSSHS	CDCCPTD	PPBSSTT	CSPBSHD	HBDDSPH	DSPSHCH	UNIQUE	SPSSSHSCDCCPTDPPBSSTTCSPBSHDHBDDSPHDSPSHCH
Blank	1,3,4	HHPDCDT	BDBHHDT	TBTHTPC	TSPCBBH	CCHHBSP	PPSPCTS	UNIQUE	HHPDCDTBDBHHDTTBTHTPCTSPCBBHCCHHBSPPPSPCTS
Blank	2,3	TSBDDDD	DPSDDCC	HDDCCSH	DTDHPPP	PBTPHCP	BHSCHPC	UNIQUE	TSBDDDDDPSDDCCHDDCCSHDTDHPPPPBTPHCPBHSCHPC
Blank	5	TSHTTDT	HCPSDTS	TPDPSTP	PSPSCDT	DSBPTDH	STDSTSD	UNIQUE	TSHTTDTHCPSDTSTPDPSTPPSPSCDTDSBPTDHSTDSTSD
Blank	2,5	BSHCDTC	DCPBTCP	SBCTPHS	DSCHHCB	HHBTTHP	TPHHCPB	UNIQUE	BSHCDTCDCPBTCPSBCTPHSDSCHHCBHHBTTHPTPHHCPB
Blank	2	CBSBDDB	HSHTHHH	PDTDPHH	SHPTDPT	CTCPPCC	DCHHTTT	UNIQUE	CBSBDDBHSHTHHHPDTDPHHSHPTDPTCTCPPCCDCHHTTT
Blank	1,2,6	TSPPPDH	SPTPPPH	PSBTSDD	SHPDBSP	PHSSBHH	HBHTDHD	UNIQUE	TSPPPDHSPTPPPHPSBTSDDSHPDBSPPHSSBHHHBHTDHD
Blank	1	CBCCDDB	SSCHCHH	PPDPPSH	SBBDHSC	STBSDST	HDBDPCC	UNIQUE	CBCCDDBSSCHCHHPPDPPSHSBBDHSCSTBSDSTHDBDPCC
Blank	1,5	CTCCTSD	PHCSPHC	HHHBTPH	TDCSTBP	DPPPSDC	STBHSSP	UNIQUE	CTCCTSDPHCSPHCHHHBTPHTDCSTBPDPPPSDCSTBHSSP
Blank	2,5	SHTPBBP	HTTSSBB	TCTCCPB	TCCHCPP	CHDHTBT	BCSCSPS	UNIQUE	SHTPBBPHTTSSBBTCTCCPBTCCHCPPCHDHTBTBCSCSPS
Blank	2,3	CTHHSTH	DPPTBDT	CPDDBSH	PDBTBCD	PPDBPCB	DCTBDBS	UNIQUE	CTHHSTHDPPTBDTCPDDBSHPDBTBCDPPDBPCBDCTBDBS
Blank	3,6	HBBPCPP	DCDPTHS	DDTSDHB	SHSDTSC	DTHCHDS	BDSSTTT	UNIQUE	HBBPCPPDCDPTHSDDTSDHBSHSDTSCDTHCHDSBDSSTTT
Clover	1	TDPCPDC	BSTHTTP	DCPHDCH	PSSBSSD	PHSDHPD	TBHHSCT	UNIQUE	TDPCPDCBSTHTTPDCPHDCHPSSBSSDPHSDHPDTBHHSCT
Blank	2,4,5	CDDHCBC	DDCCBCB	CSDPTBD	TSHBCCC	TBCDBHP	HTDCBSB	UNIQUE	CDDHCBCDDCCBCBCSDPTBDTSHBCCCTBCDBHPHTDCBSB
Clover	2	STHBDCC	PHDTHBC	HDPTDTS	HSHBHHT	TBPTSTS	DTTHBTP	UNIQUE	STHBDCCPHDTHBCHDPTDTSHSHBHHTTBPTSTSDTTHBTP
Hex	5	SDCTCTH	PHHDBPT	BBPTSST	BPDBCHB	SCTCSHP	PCBSSDS	UNIQUE	SDCTCTHPHHDBPTBBPTSSTBPDBCHBSCTCSHPPCBSSDS
Blank	5	SCPCHTS	TCSHSST	DSHPHCD	BTSCDCT	PDSSDHT	PTDDTCT	UNIQUE	SCPCHTSTCSHSSTDSHPHCDBTSCDCTPDSSDHTPTDDTCT
Blank	1,2,4	PPDTBBT	DHHPSPB	STBHDST	SHDTHHH	CDSPCTP	CDSCPBT	UNIQUE	PPDTBBTDHHPSPBSTBHDSTSHDTHHHCDSPCTPCDSCPBT
Blank	1,3,4,5	DDPBBHH	SSTBPTT	DBHSCCC	CDCBDDP	CHHCSDP	BCHCSSB	UNIQUE	DDPBBHHSSTBPTTDBHSCCCCDCBDDPCHHCSDPBCHCSSB
Blank	2,3,5	BBBBBBB	HPHBPHS	TTDDSSH	PSPTTBH	DTHSHDT	TDBCTBT	UNIQUE	BBBBBBBHPHBPHSTTDDSSHPSPTTBHDTHSHDTTDBCTBT
Blank	3,5	BTTDHHS	SHHDCDH	PCCBDSH	CHDTCPB	DSSDCCT	BPPPPCH	UNIQUE	BTTDHHSSHHDCDHPCCBDSHCHDTCPBDSSDCCTBPPPPCH
Snake	5	CSPCSPT	HTSTSCD	SHHBCTS	HTDTCSD	DBTTDSC	PSDTHDT	UNIQUE	CSPCSPTHTSTSCDSHHBCTSHTDTCSDDBTTDSCPSDTHDT
Blank	5	PBDCBTB	HTCTDDS	CHPHSTD	TSPCBTB	DTSSSPS	THSPSPP	UNIQUE	PBDCBTBHTCTDDSCHPHSTDTSPCBTBDTSSSPSTHSPSPP
Hex	5	PHHDPPS	DCCHDDP	HPDSHDC	TCSCHCP	DCCTTCS	DCCHHBC	UNIQUE	PHHDPPSDCCHDDPHPDSHDCTCSCHCPDCCTTCSDCCHHBC
Blank	2,6	HHTTDBC	CTDSTHH	DPCTCHC	CBTBDSC	SBCHTHD	PCCCSST	UNIQUE	HHTTDBCCTDSTHHDPCTCHCCBTBDSCSBCHTHDPCCCSST
Hex	2,5,6	HPDSHCB	TTCPHBB	SHPHPDT	PPTSPHC	BSDHBPD	TCTDDSD	UNIQUE	HPDSHCBTTCPHBBSHPHPDTPPTSPHCBSDHBPDTCTDDSD
Blank	5,6	CDHBSTP	CDPTTHT	PHDTBBB	PCSBSPD	DBBBCSC	PHTPDDB	UNIQUE	CDHBSTPCDPTTHTPHDTBBBPCSBSPDDBBBCSCPHTPDDB
Blank	3,6	SHCSTDT	HSTDSPB	HTHDCCS	STSCPTD	BHHTCSC	DPTTHST	UNIQUE	SHCSTDTHSTDSPBHTHDCCSSTSCPTDBHHTCSCDPTTHST
Blank	2,5	PSHHHSB	TDBHHCH	BDBHDBC	SDCDTTP	BCSSBBB	HCBBBCB	UNIQUE	PSHHHSBTDBHHCHBDBHDBCSDCDTTPBCSSBBBHCBBBCB
Blank	2,3,4,6	PPBBPBP	DDTBPHD	DDPDPBC	TCSBPPB	CCBTTPS	TPPHCCD	UNIQUE	PPBBPBPDDTBPHDDDPDPBCTCSBPPBCCBTTPSTPPHCCD
Diamond	3,5	SDSSHCD	CDCBDPT	BTHCSCB	SBPHBHD	TTHBHSH	TBPPSHT	UNIQUE	SDSSHCDCDCBDPTBTHCSCBSBPHBHDTTHBHSHTBPPSHT
Blank	3,4	PPHBCBT	TPPCCHS	TPTBTDH	CHTTDCC	SHHDCDH	CBSTSSB	UNIQUE	PPHBCBTTPPCCHSTPTBTDHCHTTDCCSHHDCDHCBSTSSB
Blank	2,5,6	BDPTPTH	BTPPDCH	TPSDPPC	SSPBSSB	TTPCCCD	SBBDCBS	UNIQUE	BDPTPTHBTPPDCHTPSDPPCSSPBSSBTTPCCCDSBBDCBS
Blank	2,3,5	SPSCDCP	PTTCDPT	TCTTSDT	TSPDHHD	TSTTPTP	PCBTPTT	UNIQUE	SPSCDCPPTTCDPTTCTTSDTTSPDHHDTSTTPTPPCBTPTT
Blank	1,3,4	CSBTCHT	DTSBBHH	BCDTCTD	DCTHHHS	SHSSDDD	STCDSPH	UNIQUE	CSBTCHTDTSBBHHBCDTCTDDCTHHHSSHSSDDDSTCDSPH
Blank	1	DSBDDBD	BDHHSSC	STPBTTD	CBHDSSP	DBPDTCP	CSBBSPD	UNIQUE	DSBDDBDBDHHSSCSTPBTTDCBHDSSPDBPDTCPCSBBSPD
Blank	6	TDSHPHB	CTBDHCD	BSCHPPD	SPPDHBT	HHCBBCP	CPCPCHP	UNIQUE	TDSHPHBCTBDHCDBSCHPPDSPPDHBTHHCBBCPCPCPCHP
Blank	2	PSTBBDP	THDSBTS	PPHCBHD	PSTDHSC	DTPSDTB	DSPDHHP	UNIQUE	PSTBBDPTHDSBTSPPHCBHDPSTDHSCDTPSDTBDSPDHHP
Plus	3,4,5	BSHSDDD	PCPSBSS	HCSCPPS	HTTDTCH	HTSDDSH	BPHCHTD	UNIQUE	BSHSDDDPCPSBSSHCSCPPSHTTDTCHHTSDDSHBPHCHTD
Blank	2,3	BSDPSSP	HPTCPPT	SCHCCCT	DBPTTCT	PBBPPDD	CBSDBPC	UNIQUE	BSDPSSPHPTCPPTSCHCCCTDBPTTCTPBBPPDDCBSDBPC
Blank	3,6	BTSBDBB	BSPDTPC	HHBDTDH	TTDBBSH	HSPPTHC	PCDSBBB	UNIQUE	BTSBDBBBSPDTPCHHBDTDHTTDBBSHHSPPTHCPCDSBBB
Blank	5,6	CSSBHSS	CPSHSCS	HPHDHPB	SCPTHCD	BCPSCCB	TPCBTPH	UNIQUE	CSSBHSSCPSHSCSHPHDHPBSCPTHCDBCPSCCBTPCBTPH
Blank	3,5	TTPTSTH	BSCCHDC	TCSHSTT	BDDCTTC	BSDPDSD	BDHBSSP	UNIQUE	TTPTSTHBSCCHDCTCSHSTTBDDCTTCBSDPDSDBDHBSSP
Hex	3,5	DPCBCBP	HTTBPSB	SHCCTDT	BCDTTHT	PDSBPBD	BTBHTST	UNIQUE	DPCBCBPHTTBPSBSHCCTDTBCDTTHTPDSBPBDBTBHTST
Blank	1,4	HBBBPHC	BPBBDTT	CSHHSSB	CTDDHSS	THTHHCP	PCBBDDB	UNIQUE	HBBBPHCBPBBDTTCSHHSSBCTDDHSSTHTHHCPPCBBDDB
Hex	3,4,6	CCSSBTP	HHPDPCP	CTSPHDP	HBBBPHC	DPDBTSH	SPCDSTS	UNIQUE	CCSSBTPHHPDPCPCTSPHDPHBBBPHCDPDBTSHSPCDSTS
Blank	1,5	TTPPPTP	BDBDTPB	STTTBCP	TTPSHTP	CHTDDPT	TPSDTHB	UNIQUE	TTPPPTPBDBDTPBSTTTBCPTTPSHTPCHTDDPTTPSDTHB
Blank	2,4,5	SHSTTST	SDSSSDP	CPHPTTC	CPHSDPD	THBSSPB	SBPHCPS	UNIQUE	SHSTTSTSDSSSDPCPHPTTCCPHSDPDTHBSSPBSBPHCPS
Clover	6	TPPDPDC	PDDBHCS	CHTDDTP	HPHCBTS	CHCDTDC	CBDDTCS	UNIQUE	TPPDPDCPDDBHCSCHTDDTPHPHCBTSCHCDTDCCBDDTCS
Diamond	5	SHHBHBT	HBDDHTC	SBDDHDS	BCHDPBB	BSPBHPD	TSBHHDT	UNIQUE	SHHBHBTHBDDHTCSBDDHDSBCHDPBBBSPBHPDTSBHHDT
Blank	3,5,6	TTPPTBS	CHHBDTS	PTHDTBT	THDBSHT	DBDTPSS	PTHHCSP	UNIQUE	TTPPTBSCHHBDTSPTHDTBTTHDBSHTDBDTPSSPTHHCSP
Hex	1,2,5,6	BDDHPSB	SPSPDST	THDDTPH	TBBCDSD	DSTBPDH	PBPCDDC	UNIQUE	BDDHPSBSPSPDSTTHDDTPHTBBCDSDDSTBPDHPBPCDDC
Blank	1,3,5	PTBPDHC	HPHDBCD	PSCCBTB	TCPTCCB	HHCSBST	DHBDBPH	UNIQUE	PTBPDHCHPHDBCDPSCCBTBTCPTCCBHHCSBSTDHBDBPH
Blank	5,6	TPCDDPB	PDTSCPC	PPPBHST	STDSSDB	DCBPBTS	SHPHTDH	UNIQUE	TPCDDPBPDTSCPCPPPBHSTSTDSSDBDCBPBTSSHPHTDH
Blank	1	DPSDSHP	HSDPSTC	BBBBBBB	BBBBBBB	BBBBBBB	HPSHSBH	UNIQUE	DPSDSHPHSDPSTCBBBBBBBBBBBBBBBBBBBBBHPSHSBH
Blank	3,6	SCSTHSS	BDPTBST	HPTTHHS	BCPHCBH	DPPDSTD	THHCBCS	UNIQUE	SCSTHSSBDPTBSTHPTTHHSBCPHCBHDPPDSTDTHHCBCS
Plus	4	SPBSTCT	CSBHPDS	TDBSTPB	THDTTBT	BPHDBBP	BHTBPBH	UNIQUE	SPBSTCTCSBHPDSTDBSTPBTHDTTBTBPHDBBPBHTBPBH
Blank	4,6	BSHHDDS	DHBPTPP	CBHHBBD	CPPTPHP	SBCTDHP	BTCTTBP	UNIQUE	BSHHDDSDHBPTPPCBHHBBDCPPTPHPSBCTDHPBTCTTBP
Blank	2,5	CTCSCST	PHDDCBS	TTHTPHH	BTSHCDD	CSTHCHT	CDDDSCD	UNIQUE	CTCSCSTPHDDCBSTTHTPHHBTSHCDDCSTHCHTCDDDSCD
Blank	2,4	DPTHCSP	SSCHTCD	DHSHTSP	HDHTHPD	SSBTSSS	TCDPSPS	UNIQUE	DPTHCSPSSCHTCDDHSHTSPHDHTHPDSSBTSSSTCDPSPS
Clover	2,6	BSDPDPB	BHPPCCC	TPCTDDH	PHTCCCP	CHCHPSH	BDDTPCP	UNIQUE	BSDPDPBBHPPCCCTPCTDDHPHTCCCPCHCHPSHBDDTPCP
Blank	1,3,6	DBPTBDP	SSHSPCT	HSTSDBB	HTBHHBD	SSTBSDD	CPPPHCC	UNIQUE	DBPTBDPSSHSPCTHSTSDBBHTBHHBDSSTBSDDCPPPHCC
Blank	1,2	TCTCSDC	CDCDDBP	TDHHCHT	CDPPHSC	DSPHPTT	TDPDDCP	UNIQUE	TCTCSDCCDCDDBPTDHHCHTCDPPHSCDSPHPTTTDPDDCP
Plus	1	CPCDTTT	DDSBTBH	HCTSCPB	BHSDBPD	CSSCTDP	BDPTSTC	UNIQUE	CPCDTTTDDSBTBHHCTSCPBBHSDBPDCSSCTDPBDPTSTC
Blank	1,4,6	PHBDBBS	DHBBCSH	PCTCSBS	DPTCDCT	TPDHCPT	TBDPSSS	UNIQUE	PHBDBBSDHBBCSHPCTCSBSDPTCDCTTPDHCPTTBDPSSS
Blank	3,5	BTTPHBC	PTPCBTT	DBSDSDH	CSTHTCT	HCDCCDD	BHPSSHC	UNIQUE	BTTPHBCPTPCBTTDBSDSDHCSTHTCTHCDCCDDBHPSSHC
Blank	3	HCTDDTP	TTTDHHC	THBBPCC	TCTDSDH	BHBBSCC	BTDHCPB	UNIQUE	HCTDDTPTTTDHHCTHBBPCCTCTDSDHBHBBSCCBTDHCPB
Blank	3,6	TTBBBHD	SSCPPCB	CHCSPSS	CCTBCBB	THTHHDT	HCBPSBH	UNIQUE	TTBBBHDSSCPPCBCHCSPSSCCTBCBBTHTHHDTHCBPSBH
Hex	1	HBCCHDT	DTHCHDS	BCSPTDS	SDPDCCD	TSCBCHS	PSPDDBC	UNIQUE	HBCCHDTDTHCHDSBCSPTDSSDPDCCDTSCBCHSPSPDDBC
Blank	3,5	HTTTTPT	CDHHDBB	HBTPHPC	PTHCPBP	THPHDCB	BPTDTTP	UNIQUE	HTTTTPTCDHHDBBHBTPHPCPTHCPBPTHPHDCBBPTDTTP
Hex	1,5	DDSTBDH	SDBTBCS	THPHBSD	BSPBDSB	BSPSTBT	SCPPCBT	UNIQUE	DDSTBDHSDBTBCSTHPHBSDBSPBDSBBSPSTBTSCPPCBT
Blank	5	BSTDPBD	SPPSCBP	SBBPDST	CDHTHPS	CBSPSDP	HTPHCDS	UNIQUE	BSTDPBDSPPSCBPSBBPDSTCDHTHPSCBSPSDPHTPHCDS
Blank	2,4	CCBBCCD	CBTBBBT	PPBHTCD	BHHBDPD	SBSDHTB	PTCPHTC	UNIQUE	CCBBCCDCBTBBBTPPBHTCDBHHBDPDSBSDHTBPTCPHTC
Blank	5	HTBPTCD	DHCDDTH	TPCSHDP	BHHTPPB	BHSHPSC	DHCDDTB	UNIQUE	HTBPTCDDHCDDTHTPCSHDPBHHTPPBBHSHPSCDHCDDTB
Blank	5	HCBSTCD	BHTHCSB	THDBDTB	SHCBBPP	CCHDSBT	DCPTCSS	UNIQUE	HCBSTCDBHTHCSBTHDBDTBSHCBBPPCCHDSBTDCPTCSS
Blank	2,5	SPBTHCB	PHDHCDS	BPHPCCB	CTBPPCT	SDSDHDS	CPPHTBP	UNIQUE	SPBTHCBPHDHCDSBPHPCCBCTBPPCTSDSDHDSCPPHTBP
Hex	2,6	STPSPDP	CTBBSSD	DCCPSSS	BHHBHPC	BSDTHSP	CTPHDPC	UNIQUE	STPSPDPCTBBSSDDCCPSSSBHHBHPCBSDTHSPCTPHDPC
Blank	2,5	CTDPHTP	THDHSHP	DDCDBDB	BBDPBPP	HSBPDTH	THBSPCD	UNIQUE	CTDPHTPTHDHSHPDDCDBDBBBDPBPPHSBPDTHTHBSPCD
Blank	2,5	SDPSBTB	HBTDCPH	SBDCPHP	HHHBHSP	PCPHDPP	SPTDPSP	UNIQUE	SDPSBTBHBTDCPHSBDCPHPHHHBHSPPCPHDPPSPTDPSP
Plus	5,6	TPPHPPD	PSDTTDS	TSHTBBH	TTSSSPS	CTDSCPH	BBSDHTH	UNIQUE	TPPHPPDPSDTTDSTSHTBBHTTSSSPSCTDSCPHBBSDHTH
Plus	2,5	DHPHBSC	CHPCCBC	PPBHPSB	CDDDTTC	DBBDHBH	BPSSDHT	UNIQUE	DHPHBSCCHPCCBCPPBHPSBCDDDTTCDBBDHBHBPSSDHT
Diamond	2,5,6	BHTHBDD	DBBDHBH	SCSSPTT	BSHHCBH	TPTBTCT	DPTBSSH	UNIQUE	BHTHBDDDBBDHBHSCSSPTTBSHHCBHTPTBTCTDPTBSSH
Blank	2,3	THTSHHD	PSPSDSP	CBSHTCH	PCBTTBC	TTDCBST	DTHHCDB	UNIQUE	THTSHHDPSPSDSPCBSHTCHPCBTTBCTTDCBSTDTHHCDB
Blank	6	SBSBPHS	SPSSDDP	SCTCDHS	CDHBTCT	PTTDBSS	SDBSHST	UNIQUE	SBSBPHSSPSSDDPSCTCDHSCDHBTCTPTTDBSSSDBSHST
Blank	2,3,5	SPHTBPH	SCDCSTT	BPCDBCH	TCBTHHD	DDCSPHC	HBPHTSD	UNIQUE	SPHTBPHSCDCSTTBPCDBCHTCBTHHDDDCSPHCHBPHTSD
Hex	5,6	SSBBPPP	SCSDHPS	DBCSHHT	PHBBCTC	CDCPHTC	DSTPCHP	UNIQUE	SSBBPPPSCSDHPSDBCSHHTPHBBCTCCDCPHTCDSTPCHP
Blank	4,5,6	THCCCBD	PDTBHTP	HTBPCCP	BBDCSST	PBDBDPP	BPSPCTS	UNIQUE	THCCCBDPDTBHTPHTBPCCPBBDCSSTPBDBDPPBPSPCTS
Blank	4,5	SBDPDHT	BDTCPSD	TBPHCDD	TBDDDCT	THPSHPH	CHPSSDC	UNIQUE	SBDPDHTBDTCPSDTBPHCDDTBDDDCTTHPSHPHCHPSSDC
Blank	3,5,6	HHHBPCT	BTBTCSC	PTHPTBS	HCCPSPH	HBHSHHH	SHCCTDT	UNIQUE	HHHBPCTBTBTCSCPTHPTBSHCCPSPHHBHSHHHSHCCTDT
Diamond	2,3	CHDDBTP	PHBBPBC	TSPTBHS	CPPDCSD	CPBPPPT	HHBBBPD	UNIQUE	CHDDBTPPHBBPBCTSPTBHSCPPDCSDCPBPPPTHHBBBPD
Clover	3,5	PPTPHTH	DSDHBPB	DCSBPDP	DTBSBBB	PHDBHDH	SSBTSBT	UNIQUE	PPTPHTHDSDHBPBDCSBPDPDTBSBBBPHDBHDHSSBTSBT
Blank	2	CDHCBHH	DHDSTPT	BSHTBTT	SDTTTBB	BDSTPBP	TCCSDHC	UNIQUE	CDHCBHHDHDSTPTBSHTBTTSDTTTBBBDSTPBPTCCSDHC
Hex	3,4,5	HPTPBPC	DSCPSHS	BSSDTBD	SHCHSSD	THPPTPD	PBCTCHT	UNIQUE	HPTPBPCDSCPSHSBSSDTBDSHCHSSDTHPPTPDPBCTCHT
Diamond	5	PDPSTHS	HBHDTST	HSBPDDT	CPDHPCS	HCDCDTT	HDCDBBT	UNIQUE	PDPSTHSHBHDTSTHSBPDDTCPDHPCSHCDCDTTHDCDBBT
Blank	1,2,5,6	STTHDHC	SBDPHPD	TDPDTPS	BCCCTPB	DCTHPBH	BTPHCSC	UNIQUE	STTHDHCSBDPHPDTDPDTPSBCCCTPBDCTHPBHBTPHCSC
Blank	6	TTHTCSD	DBPHTST	PHDHCPP	CDBDBSP	SDSBTHD	PDPHCSC	UNIQUE	TTHTCSDDBPHTSTPHDHCPPCDBDBSPSDSBTHDPDPHCSC
Blank	2,3,6	SSCTCPT	PHBBPTD	TCBDSSS	DHTSCHP	HCPSDTS	TPSBPST	UNIQUE	SSCTCPTPHBBPTDTCBDSSSDHTSCHPHCPSDTSTPSBPST
Diamond	2,5	HHCBPHC	HCCDPDS	PTTSHCT	CPSHDDH	HTCPTBT	PDPTSST	UNIQUE	HHCBPHCHCCDPDSPTTSHCTCPSHDDHHTCPTBTPDPTSST
Blank	2,5	HDCTCSS	PCTBPBC	BSTPHCS	SBHDDCT	CPTTSCH	BCDDSBS	UNIQUE	HDCTCSSPCTBPBCBSTPHCSSBHDDCTCPTTSCHBCDDSBS
Blank	2,4,5	DCTHTPC	BSCCBHS	BBPBPCB	SCPHHSS	SDBCCTB	BDPCCPH	UNIQUE	DCTHTPCBSCCBHSBBPBPCBSCPHHSSSDBCCTBBDPCCPH
Blank	1,3	SCCTBCB	HCSDDPD	PCDSBBB	HPPBSHH	CBPSSCH	PCDCCPT	UNIQUE	SCCTBCBHCSDDPDPCDSBBBHPPBSHHCBPSSCHPCDCCPT
Blank	1,3	DHDBSCP	DHBBPHB	SHTPCCT	DBTDHCH	THDTBDH	DPHTCTC	UNIQUE	DHDBSCPDHBBPHBSHTPCCTDBTDHCHTHDTBDHDPHTCTC
Blank	6	TCSPPPC	TPTTBCD	HSHDTDB	TBCSPCT	SDHTHPC	BDPHTDT	UNIQUE	TCSPPPCTPTTBCDHSHDTDBTBCSPCTSDHTHPCBDPHTDT
